iter	Passed	Remaining
0	69	68939
1	133	66767
2	197	65618
3	269	67217
4	368	73368
5	436	72357
6	497	70543
7	556	69006
8	617	67957
9	676	67005
10	768	69068
11	855	70443
12	913	69344
13	972	68472
14	1031	67754
15	1093	67259
16	1150	66518
17	1208	65906
18	1267	65450
19	1327	65059
20	1387	64671
21	1445	64266
22	1504	63896
23	1561	63493
24	1619	63170
25	1676	62791
26	1733	62453
27	1790	62169
28	1848	61905
29	1908	61699
30	1964	61421
31	2021	61152
32	2077	60886
33	2135	60676
34	2193	60479
35	2251	60276
36	2309	60106
37	2369	59975
38	2426	59793
39	2486	59665
40	2543	59493
41	2601	59344
42	2664	59302
43	2757	59918
44	2839	60251
45	2896	60076
46	2953	59879
47	3009	59697
48	3067	59538
49	3124	59371
50	3186	59292
51	3245	59162
52	3303	59018
53	3360	58863
54	3417	58727
55	3478	58632
56	3536	58503
57	3593	58369
58	3658	58342
59	3756	58848
60	3837	59075
61	3898	58977
62	3957	58857
63	4015	58732
64	4075	58620
65	4146	58677
66	4235	58979
67	4308	59047
68	4375	59032
69	4433	58904
70	4492	58784
71	4550	58655
72	4607	58512
73	4663	58358
74	4721	58227
75	4779	58109
76	4836	57974
77	4892	57834
78	4950	57714
79	5011	57634
80	5080	57638
81	5137	57520
82	5198	57434
83	5258	57342
84	5315	57216
85	5374	57121
86	5432	57009
87	5492	56923
88	5579	57115
89	5657	57200
90	5714	57080
91	5771	56962
92	5829	56853
93	5886	56732
94	5942	56609
95	6000	56501
96	6056	56384
97	6115	56285
98	6172	56173
99	6229	56061
100	6287	55968
101	6354	55942
102	6440	56087
103	6501	56013
104	6558	55899
105	6615	55793
106	6673	55699
107	6731	55600
108	6788	55493
109	6844	55376
110	6901	55277
111	6958	55168
112	7016	55074
113	7073	54976
114	7131	54880
115	7192	54810
116	7250	54717
117	7307	54620
118	7362	54503
119	7419	54406
120	7474	54300
121	7530	54192
122	7588	54103
123	7644	54005
124	7700	53906
125	7756	53804
126	7815	53725
127	7875	53649
128	7933	53563
129	7989	53466
130	8045	53370
131	8103	53284
132	8161	53200
133	8217	53108
134	8273	53011
135	8342	52998
136	8430	53104
137	8510	53162
138	8568	53075
139	8624	52981
140	8681	52890
141	8736	52789
142	8791	52684
143	8846	52588
144	8903	52500
145	8961	52418
146	9016	52320
147	9071	52221
148	9127	52132
149	9183	52038
150	9241	51959
151	9298	51877
152	9354	51783
153	9412	51707
154	9482	51694
155	9569	51773
156	9640	51763
157	9698	51682
158	9752	51585
159	9809	51501
160	9867	51418
161	9922	51329
162	9979	51246
163	10034	51153
164	10092	51076
165	10149	50991
166	10206	50907
167	10262	50824
168	10323	50763
169	10401	50783
170	10488	50846
171	10547	50774
172	10603	50687
173	10660	50605
174	10714	50511
175	10773	50440
176	10830	50360
177	10885	50269
178	10942	50190
179	10997	50101
180	11054	50017
181	11114	49954
182	11171	49875
183	11229	49800
184	11287	49723
185	11346	49654
186	11421	49657
187	11508	49704
188	11590	49733
189	11648	49661
190	11705	49580
191	11761	49496
192	11817	49414
193	11875	49337
194	11933	49262
195	11995	49204
196	12066	49183
197	12154	49231
198	12218	49182
199	12276	49104
200	12332	49025
201	12389	48946
202	12444	48858
203	12502	48784
204	12558	48701
205	12614	48620
206	12668	48530
207	12726	48457
208	12782	48377
209	12838	48298
210	12895	48219
211	12950	48135
212	13006	48057
213	13061	47973
214	13116	47889
215	13173	47816
216	13236	47761
217	13329	47813
218	13396	47774
219	13453	47699
220	13508	47617
221	13565	47541
222	13626	47480
223	13682	47400
224	13739	47323
225	13796	47249
226	13852	47171
227	13907	47090
228	13963	47012
229	14024	46950
230	14101	46945
231	14175	46924
232	14230	46845
233	14287	46769
234	14343	46694
235	14399	46614
236	14453	46532
237	14510	46458
238	14565	46378
239	14621	46301
240	14679	46231
241	14735	46154
242	14792	46080
243	14849	46007
244	14914	45960
245	15003	45986
246	15086	45991
247	15145	45925
248	15202	45850
249	15258	45775
250	15313	45696
251	15371	45626
252	15427	45549
253	15484	45478
254	15538	45398
255	15597	45331
256	15659	45273
257	15747	45290
258	15817	45253
259	15880	45199
260	15938	45127
261	15992	45048
262	16046	44966
263	16103	44895
264	16160	44821
265	16215	44745
266	16272	44671
267	16327	44597
268	16384	44525
269	16454	44488
270	16549	44519
271	16618	44479
272	16674	44404
273	16730	44329
274	16788	44261
275	16843	44182
276	16899	44109
277	16957	44041
278	17016	43975
279	17074	43905
280	17131	43833
281	17189	43766
282	17246	43695
283	17303	43624
284	17364	43564
285	17443	43547
286	17537	43568
287	17615	43550
288	17704	43556
289	17794	43566
290	17856	43506
291	17911	43430
292	17970	43361
293	18027	43290
294	18088	43228
295	18161	43196
296	18246	43189
297	18304	43119
298	18363	43052
299	18423	42988
300	18478	42912
301	18536	42843
302	18594	42773
303	18650	42700
304	18709	42632
305	18770	42570
306	18827	42499
307	18885	42430
308	18940	42356
309	18996	42282
310	19053	42211
311	19108	42137
312	19165	42065
313	19222	41995
314	19275	41917
315	19332	41846
316	19387	41771
317	19443	41698
318	19497	41622
319	19555	41556
320	19614	41490
321	19680	41438
322	19771	41439
323	19855	41426
324	19911	41354
325	19970	41288
326	20029	41221
327	20084	41148
328	20139	41074
329	20196	41004
330	20253	40935
331	20307	40860
332	20362	40786
333	20420	40717
334	20477	40649
335	20534	40580
336	20590	40508
337	20645	40435
338	20701	40363
339	20758	40295
340	20811	40219
341	20866	40147
342	20924	40079
343	20980	40010
344	21035	39937
345	21095	39873
346	21167	39834
347	21260	39832
348	21332	39792
349	21391	39727
350	21452	39666
351	21509	39597
352	21565	39526
353	21619	39453
354	21675	39382
355	21730	39310
356	21784	39236
357	21840	39166
358	21896	39096
359	21952	39027
360	22009	38957
361	22063	38884
362	22117	38812
363	22174	38743
364	22230	38674
365	22288	38609
366	22344	38539
367	22399	38468
368	22457	38402
